,구,동,구분,단지명,세대수,사용검사일,주소,위도,경도,자동차수,충전기수
313,기흥구,신갈동,분양,삼익아파트,296,19990220.0,경기도 용인시 기흥구 신갈로124번길 3,37.2667361,127.0945468,325.6,7.0
314,기흥구,신갈동,분양,드림랜드아파트,299,19920805.0,경기도 용인시 기흥구 용구대로2152번길 39,37.2676795,127.077307,328.90000000000003,7.0
315,기흥구,신갈동,분양,녹원마을 새천년그린빌 4단지,923,20040716.0,경기도 용인시 기흥구 새천년로 40,37.268206000000006,127.09433043792652,1015.3000000000001,21.0
316,기흥구,언남동,분양,스파 팰리스 리가,533,20130207.0,경기도 용인시 기흥구 언남로 5,37.2667361,127.0945468,586.3000000000001,12.0
317,기흥구,영덕동,분양,우남퍼스트빌 리젠트,153,20090424.0,경기도 용인시 기흥구 흥덕중앙로105번길 40,37.2733608,127.0932083,168.3,4.0
318,기흥구,영덕동,분양,흥덕마을 11단지 경남아너스빌,545,20090428.0,경기도 용인시 기흥구 흥덕중앙로105번길 41,37.2702781,127.0820446,599.5,12.0
319,기흥구,영덕동,분양,청현마을 기흥데시앙아파트,400,20050111.0,경기도 용인시 기흥구 덕영대로2077번길 53,37.296567249999995,127.1284884466923,440.00000000000006,9.0
320,기흥구,영덕동,분양,청현마을 대명레이크빌아파트,401,20050107.0,경기도 용인시 기흥구 덕영대로2077번길 55,37.2879802,127.116244,441.1,9.0
321,기흥구,영덕동,분양,영통빌리지,472,19991106.0,경기도 용인시 기흥구 중부대로55번길 11,37.29344365,127.12648249949504,519.2,11.0
322,기흥구,영덕동,분양,영덕 신일 1차아파트,662,19981212.0,경기도 용인시 기흥구 덕영대로2077번길 20,37.2907983,127.1491694,728.2,15.0
323,기흥구,영덕동,분양,영덕 신일 2차아파트,239,19981212.0,경기도 용인시 기흥구 덕영대로2077번길 20,37.2907983,127.1491694,262.90000000000003,6.0
324,기흥구,영덕동,분양,청현마을 신갈 두진아파트,541,19961108.0,경기도 용인시 기흥구 덕영대로2077번길 8,37.2907983,127.1491694,595.1,12.0
325,기흥구,영덕동,분양,흥덕마을 13단지 경남아너스빌,368,20090619.0,경기도 용인시 기흥구 흥덕4로30번길 11,37.2914742,127.1311812,404.8,9.0
326,기흥구,영덕동,분양,흥덕마을14단지 호반베르디움,236,20100205.0,경기도 용인시 기흥구 흥덕3로 60,37.2907983,127.1491694,259.6,6.0
327,기흥구,언남동,분양,하마비마을 동일하이빌2차아파트,837,20020801.0,경기도 용인시 기흥구 언남로 15,37.3026184,127.1224789,920.7,19.0
328,기흥구,언남동,분양,장미마을 삼성래미안 2차 아파트,1219,20031217.0,경기도 용인시 기흥구 구성로 90,37.2803333,127.1508955,1340.9,27.0
329,기흥구,언남동,분양,하마비마을 동부센트레빌,418,20020131.0,경기도 용인시 기흥구 구성로 99,37.2797935,127.1490123,459.8,10.0
330,기흥구,언남동,분양,언동마을 신일해피트리,591,20011212.0,경기도 용인시 기흥구 구성로 184,37.282445,127.1583908,650.1,14.0
331,기흥구,언남동,분양,하마비마을 동일하이빌1차,999,20010921.0,경기도 용인시 기흥구 구성로 105-15,37.2807841,127.1591508,1098.9,22.0
